Site,Long,Lat,Evel,Nvel,SigVe,SigVn,Cor,Solution,X,Y
SFHN,51.7061,32.5177,-0.57,13.1,0.33,0.12,0.005,IPGN,3336079.065,4225133.527
SHA0,44.528,40.753,3.28,7.15,0.75,0.75,-0.012,Reilinger,3449434.401,3393064.931
SHA1,53.492,36.679,-4.6,8.21,0.74,0.76,0.01,Raeesi,3046871.469,4116408.303
SHAB,45.887,38.228,1.75,12.63,0.38,0.37,0.024,Raeesi,3492078.719,3601910.033
SHAH,50.748,32.367,-2.48,12.99,0.4,0.38,-0.015,Raeesi,3411934.523,4175701.781
SHAM,58.431,37.57,-0.63,2.32,0.66,0.66,-0.023,Raeesi,2649911.541,4312596.264
SHAN,51.775,28.4,-0.92,18.01,1.62,1.6,0,Raeesi,3474146.983,4410892.027
SHEK,47.25,41.132,0.65,5.47,0.5,0.5,0,Reilinger,3265683.862,3532796.899
SHIK,49.426,40.025,3.56,1.78,0.53,0.51,0,Reilinger,3181201.006,3714981.345
SHIR,57.308,37.814,-2.79,3.55,0.45,0.41,0.002,Raeesi,2724980.778,4245897.704
SHKH,60.296,33.654,0.16,1.65,0.96,0.9,-0.015,Raeesi,2633498.258,4616265.079
SHOL,49.668,33.073,-0.84,14.04,0.74,0.71,-0.002,Raeesi,3462643.133,4078388.837
SHOR,51.8842,35.2772,-1.05,13.62,0.17,0.12,0.009,IPGN,3217570.348,4101189.935
SHOU,46.76,39.753,4.55,10.75,0.44,0.42,0,Reilinger,3363823.389,3577100.346
SHRN,57.8227,37.4372,-2.78,3,0.52,0.82,0.001,IPGN,2700326.134,4291815.118
SHRZ,52.6026,29.5444,-0.65,14.13,0.11,0.11,0.015,IPGN,3372760.351,4411802.66
SHUA,42.133,41.648,0.81,3.31,1.33,0.82,-0.016,Reilinger,3539659.186,3202032.6
SIRT,41.936,37.932,-4.61,15.23,1.5,1.51,-0.002,Reilinger,3747036.963,3366276.083
SIYE,49.12,41.066,0.52,1.89,0.68,0.61,0,Reilinger,3151816.379,3641123.813
SKOH,46.1229,37.9332,0,12.55,0.11,0.16,0.009,IPGN,3491207.713,3630804.942
SLNY,42.259,44.891,-1.03,1.85,0.49,0.39,-0.057,Reilinger,3349858.79,3043757.971
SMNN,53.4207,35.5882,-0.85,10.33,0.33,0.15,0.004,IPGN,3094523.947,4169926.566
SNDJ,47.0146,35.2552,-3.3,14,0.37,0.35,0.001,IPGN,3555060.222,3814283.525
SOLA,46.4006,24.9107,4.88,19.53,0.12,0.1,0.015,IPGN*,3991603.212,4191684.514
SOLE,49.328,32.037,-3.64,18.31,1.65,1.64,0.009,Raeesi,3527074.511,4104658.456
SOLH,41.057,38.959,-6.91,13.98,1.01,1.1,-0.017,Reilinger,3744788.398,3261841.187
SORC,57.884,27.901,1.37,13.36,2.24,2.05,0.022,Raeesi,2998880.411,4777660.701
SRCH,55.885,30.014,1.02,14.06,1.67,1.66,0.001,Raeesi,3100119.286,4576275.906
SRJN,55.707,29.304,0.76,15.15,1.64,1.63,0.002,Raeesi,3136263.388,4598797
SRVN,62.3183,27.3902,2.26,3.47,0.25,0.17,0.003,IPGN,2632715.797,5018478.555
STEP,44.364,41.031,2.32,5.02,0.5,0.5,-0.041,Reilinger,3444683.883,3369046.367
SVR2,53.244,29.281,-2.54,13.95,1.15,1.15,0.001,Raeesi,3331741.935,4460769.441
SYON,48.773,15.947,11.3,19.54,0.7,0.66,0,Reilinger,4042728.86,4613583.428
TABS,56.9507,33.6034,-0.44,9.82,0.15,0.15,0.008,IPGN,2900080.273,4457330.795
TABZ,46.3433,38.0557,1.22,10.83,0.24,0.19,0.003,IPGN,3471437.069,3638151.987
TANG,52.043,35.492,-0.85,9.97,0.36,0.36,0.01,Raeesi,3197703.289,4099211.06
TASJ,45.3606,38.316,0.22,13.97,0.11,0.1,0.012,IPGN,3520771.882,3565370.22
TAZA,47.271,38.27,3.29,12.22,0.59,0.61,-0.005,Raeesi,3402104.66,3683083.359
TEHN,51.3341,35.6973,-0.43,11.28,0.16,0.1,0.01,IPGN,3239891.956,4048982.361
TEHR,51.386,35.747,-0.65,12.94,0.79,0.75,0.01,Raeesi,3234213.688,4049399.774
TF01,51.257,35.812,-1.6,12.9,0.42,0.42,0.01,Raeesi,3240683.698,4038818.935
TF09,51.425,35.833,-1.25,12.56,0.5,0.5,0.01,Raeesi,3227977.008,4047237.583
TF16,51.522,35.774,-1.7,12.36,0.41,0.41,0.01,Raeesi,3223503.411,4055694.693
TF20,51.568,35.808,-3.19,11.43,0.51,0.52,0.01,Raeesi,3218874.875,4056553.117
TFSH,50.0521,34.676,-1.56,12.82,0.1,0.1,0.018,IPGN,3371592.929,4025536.231
THED,59.2187,35.347,0.65,3.99,0.13,0.16,0.012,IPGN,2665387.124,4474548.24
TJAM,60.5642,35.2944,-0.19,2.49,0.16,0.18,0.009,IPGN,2561242.378,4538839.536
TKBN,50.9301,36.7859,-3.22,9.94,0.1,0.11,0.015,IPGN,3223352.481,3970594.443
TKCE,47.3928,37.5794,-0.11,12.66,0.29,0.17,0.003,IPGN,3426161.258,3724982.784
TKMN,41.512,39.643,-2.03,6.94,1,1.01,-0.005,Reilinger,3682750.339,3259597.573
TLGN,50.745,36.1436,-3.43,11.42,0.34,0.18,0.002,IPGN,3262967.466,3992961.478
TMN2,54.316,29.239,-2.8,13.15,1.2,1.21,0.002,Raeesi,3249030.241,4524169.881
TN01,51,35.493,-1.03,13.22,0.7,0.7,0.02,Raeesi,3271749.973,4040274.739
TN02,51.17,35.203,-0.68,12.99,0.45,0.46,0.009,Raeesi,3271419.252,4064465.156
TN03,51.379,35.366,-0.78,12.85,0.48,0.49,0.01,Raeesi,3250051.33,4068209.937
TN04,51.409,35.495,-1.28,13.3,0.46,0.47,0.01,Raeesi,3242745.412,4063425.948
TN05,51.515,35.633,-0.31,11.41,0.49,0.5,0.01,Raeesi,3229680.542,4062447.501
TN06,51.724,35.55,-0.46,11.3,0.4,0.4,0.01,Raeesi,3218160.374,4078408.987
TN07,51.994,35.763,-1.75,9.72,0.47,0.48,0.01,Raeesi,3190423.054,4082673.968
TORQ,59.6275,36.2241,0.79,0.82,0.15,0.13,0.01,IPGN,2604620.845,4444354.722
TOTI,58.532,33.019,-0.15,8.65,0.8,0.78,0.016,Raeesi,2794555.877,4566022.961
TPTG,57.2485,34.9019,0.59,8.64,0.37,0.54,0.008,IPGN,2833015.511,4404162.488
TRAB,39.7756,40.9947,-0.56,2.04,0.33,0.28,-0.003,IPGN*,3705191.155,3084376.615
TVAN,42.29,38.529,-3.37,15.28,0.81,0.81,-0.008,Reilinger,3695831.61,3361769.077
UDER,41.548,40.531,0.19,3.55,0.81,0.81,-0.018,Reilinger,3633183.355,3219799.304
VAAN,43.283,38.565,-4.72,12.96,1.01,1.02,-0.005,Reilinger,3635203.395,3423606.552
VLDN,45.1933,38.4915,2.84,13.52,0.13,0.13,0.01,IPGN,3522639.224,3546488.583
VLKK,44.677,43.046,0.64,2.37,1.07,1.08,-0.01,Reilinger,3319661.529,3282442.346
VRMN,51.632,35.344,-0.77,12.72,0.25,0.63,0,Raeesi,3232932.449,4083628.778
VRTO,41.454,39.186,-5.3,10.31,0.49,0.51,-0.024,Reilinger,3710192.553,3277194.552
YAGH,52.235,29.617,-1.74,15.07,1.54,1.53,0,Raeesi,3398563.215,4386932.509
YARD,48.388,38.952,5.41,13.9,0.97,0.89,0.002,Raeesi,3298286.23,3713382.419
YIBL,56.1123,22.1865,6.58,24.69,0.24,0.17,0.001,IPGN*,3294505.671,4905015.918
YKKZ,45.4142,38.6721,4.43,10.68,0.19,0.11,0.008,IPGN,3500163.348,3551139.187
ZABL,61.7159,30.8413,1.46,1.97,0.13,0.18,0.009,IPGN,2597153.427,4826645.673
ZABO,61.517,31.049,0.6,1.95,1.34,1.23,0.015,Raeesi,2608246.266,4807192.878
ZARI,44.5498,38.4458,-0.07,13.67,0.11,0.14,0.01,IPGN,3564496.476,3508916.189
ZECK,41.5651,43.7884,-0.51,0.67,0.13,0.11,0.01,IPGN*,3450542.553,3059778.505
ZHAO,65.6053,26.3927,5.1,13.04,0.86,0.8,0.035,Frohling,2361284.388,5206702.718
ZMAN,56.7719,35.5896,0.27,9.67,0.53,0.56,0.012,IPGN,2845424.936,4343614.18
ZRND,56.6077,30.8332,-1.06,13.66,0.2,0.25,0.006,IPGN,3016841.057,4576617.829
ZVNG,58.515,36.438,1.94,3.52,0.67,0.67,-0.02,Raeesi,2683075.282,4380954.974
