Site,Long,Lat,Evel,Nvel,SigVe,SigVn,Cor,Solution,X,Y
GARM,51.6457,35.985,-1.57,10.43,0.1,0.14,0.023,IPGN,3206225.407,4051884.615
GARN,44.742,40.149,1.17,7.14,1.11,1.11,0,Reilinger,3467645.078,3436555.601
GEG0,44.81,40.16,1.83,8.61,0.49,0.48,-0.014,Reilinger,3463005.268,3440113.575
GENO,56.162,27.366,3.58,20.83,2.34,2.18,0.021,Raeesi,3156406.77,4708226.227
GHAB,54.989,36.43,-0.09,10,0.71,0.72,0.01,Raeesi,2947733.868,4208080.532
GHAR,49.851,35.14,-1.92,13.59,0.74,0.72,-0.001,Raeesi,3366707.722,3991161.294
GHO1,49.812,36.699,-1.37,12.77,0.68,0.71,0,Raeesi,3303940.788,3911347.307
GHOL,57.217,28.01,1.67,14.9,0.98,0.9,-0.002,Raeesi,3051228.302,4737666.071
GHOT,44.428,38.489,-0.7,13.3,1.07,1.08,-0.009,Reilinger,3569817.393,3499242.62
GLMT,59.4485,27.4822,3.76,6.39,0.24,0.27,0.008,IPGN,2878284.148,4876328.75
GNDG,54.4141,34.0401,-0.08,12.94,0.59,0.42,0.014,IPGN,3078819.842,4302686.715
GONA,58.6835,34.3731,-0.49,6.3,0.1,0.09,0.02,IPGN,2739164.353,4502212.648
GORI,47.739,33.057,-3.69,17.04,1.72,1.71,0.009,Raeesi,3598614.777,3960237.98
GORI,46.367,39.511,4.95,10.7,0.36,0.36,0.001,Reilinger,3400105.954,3566347.684
GOSM,48.419,38.706,5.18,13.09,0.95,0.83,0.002,Raeesi,3307640.567,3727974.5
GOT2,53.631,28.624,-1.76,16.26,1.3,1.29,0.001,Raeesi,3322438.984,4511555.46
GOTR,55.791,31.416,0.38,11.39,1.62,1.62,0.001,Raeesi,3062990.082,4505530.516
GRME,56.264,37.042,-0.56,8.25,0.52,0.53,-0.012,Raeesi,2830809.512,4238847.629
GWAD,62.3203,25.144,4.99,7.69,0.34,0.31,0.036,Frohling,2683698.364,5116095.54
HAJT,60.502,31.573,1.71,2.6,1.21,1.2,0.005,Raeesi,2678125.759,4733956.81
HAMD,48.5343,34.8691,-1.39,13.01,0.15,0.11,0.01,IPGN,3468946.472,3925663.697
HARA,54.608,30.079,0.4,13.61,0.41,0.39,0.016,Raeesi,3199246.504,4503108.962
HASH,48.922,37.764,2.49,11.8,0.44,0.46,0.004,Raeesi,3317306.978,3805649.218
HEFZ,48.458,38,4.13,12.21,0.81,0.85,-0.018,Raeesi,3337350.534,3766621.336
HELI,52.305,36.206,-2.47,10.03,0.58,0.56,0.02,Raeesi,3150555.639,4077077.942
HINI,41.696,39.369,-0.47,7.54,0.8,0.79,-0.003,Reilinger,3686713.696,3284280.417
HJBD,60.0098,33.6039,0.62,2.24,0.23,0.27,0.007,IPGN,2658062.44,4605718.298
HMEH,40.596,36.584,-5.6,15.23,0.52,0.53,0.001,Reilinger,3893504.298,3336665.314
HORS,42.167,40.042,0.02,7.06,0.76,0.76,-0.009,Reilinger,3624209.802,3282431.138
HOSN,48.2534,32.6699,-3.76,15.1,0.27,0.28,0.003,IPGN,3578426.349,4009766.936
HRMK,57.917,29.642,2.9,10.4,1.62,1.6,0.003,Raeesi,2946800.042,4700699.498
HSAD,57.465,29.371,2.71,14.72,1.61,1.61,0.002,Raeesi,2991748.089,4689779.398
HSGD,50.747,36.0067,-1.68,11.5,0.1,0.11,0.017,IPGN,3268487.9,4000001.903
HSTD,47.0942,37.5762,-0.94,13.89,0.11,0.15,0.008,IPGN,3445675.043,3707235.306
IGIR,44.018,39.929,3.42,5.79,0.8,0.79,-0.004,Reilinger,3522092.737,3403384.438
IJEV,45.139,40.907,3.32,7.35,0.49,0.47,0,Reilinger,3405168.172,3421730.312
ILAM,46.427,33.648,-3.79,16.69,1.1,1.07,0.028,Raeesi,3663507.929,3850694.214
ILLM,46.3974,33.5887,-3.55,16.78,0.1,0.1,0.016,IPGN,3668008.194,3851438.077
INGU,42.062,42.721,-0.95,3.05,0.39,0.39,0,Reilinger,3484205.276,3144026.119
IRAJ,56.445,30.775,-0.08,13.7,1.6,1.6,0.002,Raeesi,3031651.284,4570786.275
ISBA,44.4384,33.3414,-2.41,17.69,0.29,0.38,0,IPGN*,3808322.548,3734388.271
ISER,44.011,36.16,-3.04,17.33,1.35,1.35,0.003,Reilinger,3707899.914,3582053.299
ISL2,53.066,28.347,-2.48,16.4,1.2,1.21,0.001,Raeesi,3375563.693,4490277.094
ISNA,44.353,32.013,-1.42,17.29,0.62,0.62,0.044,Reilinger,3870756.191,3784309.623
ISSD,43.673,34.601,-2.61,18.61,0.73,0.74,0.019,Reilinger,3801401.209,3629272.177
JAM1,45.049,39.297,4.83,10.64,0.72,0.73,-0.003,Raeesi,3491892.754,3497870.48
JASC,57.7699,25.6375,1.86,12.81,0.19,0.16,0.006,IPGN,3068627.856,4867225.857
JASK,57.7639,25.6495,2.06,14.82,0.49,1,0.004,IPGN,3068830.652,4866417.845
JERM,45.661,39.837,4.89,11.54,0.97,0.93,-0.016,Raeesi,3427641.328,3507654.798
JOLF,45.605,38.952,3.85,11.48,0.71,0.71,-0.004,Raeesi,3474693.591,3548859.746
JOZA,48.952,34.256,-3.48,15.82,0.73,0.7,-0.002,Raeesi,3465573.179,3979946.989
KAL2,43.341,38.549,-5.56,12.82,0.66,0.65,0,Reilinger,3632540.976,3428044.485
KALT,59.6404,36.3913,-0.43,1.4,0.17,0.19,0.006,IPGN,2598067.639,4435461.71
KAN2,52.056,27.834,-0.38,22.02,1.25,1.27,-0.01,Raeesi,3470649.08,4451189.174
KAR0,44.657,40.101,2.66,7.97,0.76,0.78,-0.005,Reilinger,3475182.77,3433821.663
KARM,46.459,39.315,3.68,12.33,1.32,0.83,0,Reilinger,3403892.495,3581817.546
KARS,43.17,40.685,1.45,5.63,0.55,0.54,-0.012,Reilinger,3532471.73,3313732.82
KASP,46.758,40.184,3.65,11.03,0.74,0.66,0,Reilinger,3342888.305,3554589.278
KATE,46.511,41.652,0.56,5,0.49,0.49,0,Reilinger,3284696.807,3462679.368
KATI,56.365,31.413,1.28,11.48,1.08,1.08,0.003,Raeesi,3017795.903,4536133.873
KBLG,44.5647,39.0306,4.38,9.86,0.25,0.14,0.005,IPGN,3534641.157,3481336.813
KCHI,67.1128,24.9314,6.45,29.03,0.14,0.11,0.004,Frohling,2250755.439,5331606.905
KERM,57.119,30.277,0.16,15.84,0.54,0.46,0.021,Raeesi,2992898.211,4629681.896
KHAF,60.1583,34.585,0.18,1.42,0.3,0.3,0.008,IPGN,2615760.658,4559677.318
KHAS,56.233,26.208,4.71,25.74,1.37,1.37,0.013,Raeesi,3182709.348,4760203.045
KHAV,46.265,38.736,5.46,10.02,0.69,0.69,-0.005,Raeesi,3443981.191,3599515.712
KHID,49.237,39.818,4.85,6.66,1.46,1.48,0,Reilinger,3203068.658,3715639.004
KHJE,46.5956,38.1517,2.77,10.11,0.18,0.18,0.005,IPGN,3450864.619,3648625.714
KHO2,54.126,29.923,-1.58,14.59,0.41,0.4,0.022,Raeesi,3242082.236,4483042.847
KHON,50.458,33.157,-2.9,13.4,0.75,0.72,0.008,Raeesi,3402842.271,4121818.037
KHOR,47.123,37.368,-2.63,13.54,0.56,0.57,0.013,Raeesi,3453376.556,3719268.716
KHOS,48.409,30.246,-0.26,19.27,1.15,1.1,0.017,Raeesi,3660620.131,4124360.683
KHSF,58.821,32.755,0.82,6.72,1.16,1.16,0.003,Raeesi,2779719.802,4593661.821
KHUR,55.0813,33.7693,0.11,11.46,0.1,0.1,0.019,IPGN,3038099.046,4351985.211
KISL,42.663,43.742,-0.21,0.82,0.56,0.56,-0.028,Reilinger,3393903.564,3127748.554
KIZ0,44.19,41.185,1.88,5.33,0.72,0.72,-0.009,Reilinger,3446836.581,3350731.819
KIZ2,40.65,37.246,-6.83,14.42,0.85,0.86,-0.005,Reilinger,3856879.53,3311588.278
KKDY,44.1599,39.3323,3.96,7.41,0.16,0.19,0.006,IPGN,3543967.82,3441535.46
KLBR,47.0323,38.8687,4.6,12.06,0.18,0.2,0.006,IPGN,3389177.606,3638558.287
KMSH,47.1247,34.3561,-1.01,10.44,1.17,0.5,0,IPGN,3586461.242,3862830.086
KOKU,41.793,38.753,-5.43,12.77,0.47,0.49,-0.024,Reilinger,3713276.699,3319236.306
KORD,54.199,36.86,-2.3,6.24,0.36,0.34,0.008,Raeesi,2988813.047,4143939.046
KRAD,48.2787,33.4334,-4.61,14.43,0.14,0.13,0.009,IPGN,3545921.153,3976877.094
KRD2,50.531,31.808,-4.67,15.42,1.62,1.61,0,Raeesi,3448655.731,4188169.042
KRES,44.486,42.447,0.23,3.7,0.46,0.45,0,Reilinger,3362807.246,3303006.676
KRKT,41.794,38.754,-5.05,11.91,0.91,0.93,-0.011,Reilinger,3713166.959,3319254.803
KRS1,43.093,40.588,1.59,5.01,0.82,0.82,-0.01,Reilinger,3542044.589,3313775.105
KRYZ,42.149,39.714,-1.74,8.49,0.86,0.77,0,Reilinger,3642552.52,3296961.624
KSHA,51.255,34.15,-2.81,13.14,0.4,0.38,-0.002,Raeesi,3306980.02,4121148.397
KSHM,58.473,35.2706,1.23,5.58,0.1,0.1,0.02,IPGN,2725957.397,4443656.464
KUDI,45.795,41.951,-0.79,5.21,0.56,0.53,0,Reilinger,3312276.944,3405494.474
KURD,48.148,40.333,3.88,9.84,0.76,0.66,0,Reilinger,3248544.725,3626669.967
KUWT,47.971,29.325,0.26,19.21,0.85,0.84,0,Reilinger,3725995.078,4133927.358
LALE,56.69,29.596,1.77,15.19,1.12,1.13,0.004,Raeesi,3048166.957,4638626.211
LAMB,54.004,26.883,1.52,21.15,1.41,1.28,0.002,Raeesi,3345798.596,4605773.224
LAMD,53.2034,27.3637,3.25,19.49,0.22,0.14,0.008,IPGN,3395281.612,4539128.509
LAR2,54.32,27.644,-0.42,18.11,1.36,1.37,0.012,Raeesi,3297816.137,4592779.383
LARZ,52.811,36.078,-2.49,8.2,0.68,0.69,0,Raeesi,3119490.414,4111415.657
MABD,52.2852,36.5884,-4.17,7.06,0.11,0.12,0.014,IPGN,3136561.51,4056070.585
MMAR02,55.956,37.845,-4.27,6.03,0.58,0.61,-0.013,Raeesi,2823221.284,4178672.079
MARD,40.728,37.311,-6.83,14.44,0.85,0.86,-0.005,Reilinger,3849056.521,3313984.914
MARG,48.891,37.187,-0.13,11.51,0.7,0.72,-0.009,Raeesi,3344983.299,3833210.696
MARV,52.752,29.798,-0.05,13.93,1.56,1.53,0,Raeesi,3352822.479,4409505.182
MAVT,55.9439,37.801,-4.56,6.19,0.12,0.13,0.012,IPGN,2825780.795,4180556.926
MEHR,52.157,35.868,-1.71,8.88,0.52,0.52,0.01,Raeesi,3174612.873,4086350.076
MF01,51.955,35.683,-1.31,9.97,0.42,0.42,0,Raeesi,3196395.227,4084582.796
MF02,51.797,35.801,-0.96,10.39,0.33,0.33,0,Raeesi,3202916.971,4069742.956
MF03,51.885,35.649,-1.41,10.89,0.32,0.32,0,Raeesi,3202740.742,4082405.147
MF04,52.117,35.258,-1.94,11.65,0.36,0.36,0,Raeesi,3201635.428,4115200.193
MF05,51.277,35.493,-0.68,12.2,0.44,0.43,0,Raeesi,3252178.855,4056044.939
MF06,50.543,35.227,-1.07,12.17,0.43,0.43,-0.001,Raeesi,3314725.041,4027237.164
MF07,52.008,35.897,-0.4,8.74,0.33,0.34,0,Raeesi,3184067.914,4076594.206
MF10,51.304,36.394,-2.5,11.48,0.46,0.47,0,Raeesi,3213579.615,4011776.987
MF12,51.315,36.15,-1.12,12.04,0.54,0.54,0.01,Raeesi,3222821.348,4024897.6
MF13,50.632,36.009,-1.1,11.57,0.44,0.44,0,Raeesi,3276414.662,3993317.585
MF15,51.613,35.988,-2.37,11.65,0.33,0.33,-0.01,Raeesi,3208415.928,4049900.775
MF16,51.665,35.724,-1.17,11.92,0.33,0.33,0,Raeesi,3215381.459,4066269.709
MF17,51.108,35.753,-1.43,10.9,0.32,0.33,0,Raeesi,3253579.086,4033356.984
MHAN,57.2884,30.0716,1.34,14.67,0.18,0.16,0.008,IPGN,2985381.969,4648140.066
MIAN,46.162,36.908,-2.1,14.18,0.38,0.35,0.005,Raeesi,3536617.203,3683057.525
MIDY,41.357,37.417,-5.82,13.6,1.05,1.06,0.001,Reilinger,3807085.017,3351322.354
MINA,57.1,27.16,1.05,22.56,2.21,2.05,0.022,Raeesi,3084587.523,4768046.359
MKLA,49.038,14.486,12.64,21.51,0.56,0.54,0.001,Reilinger,4049162.358,4664272.581
MMKN,44.771,37.9851,-2.06,13.63,0.49,0.39,0.001,IPGN,3573381.66,3544931.008
MMOR,44.114,40.178,2.73,6.7,0.65,0.64,-0.014,Reilinger,3503611.874,3396896.548
MMR0,44.091,40.178,2.09,7.07,0.42,0.41,-0.012,Reilinger,3504975.194,3395489.834
MNDB,46.0092,36.93,-0.95,13.3,0.19,0.17,0.005,IPGN,3545408.237,3672557.648
MOBA,51.808,34.977,0.09,10.71,0.77,0.76,0.04,Raeesi,3234870.576,4111968.514
MOBK,51.7947,35.0529,-0.63,12.29,0.12,0.13,0.013,IPGN,3232836.774,4107420.868
MOGH,48.049,39.013,5.79,11.53,0.82,0.85,-0.017,Raeesi,3317351.359,3690634.368
MOSH,57.62,26.993,1.11,13.51,2.25,2.11,0.022,Raeesi,3045698.356,4802957.633
MRAD,43.759,38.997,-0.51,11.08,0.73,0.54,-0.038,Reilinger,3584941.002,3432913.75
MRQD,40.761,35.754,-4.45,15.36,0.51,0.52,0.008,Reilinger,3925048.575,3383351.476
MSHN,59.4798,36.3347,-0.1,1.38,0.1,0.1,0.021,IPGN,2612381.111,4431369.78
MURA,43.763,38.99,-0.07,10,0.78,0.78,-0.003,Reilinger,3585054.476,3433502.235
MUSC,58.569,23.564,5.94,26.48,0.75,0.63,0,Reilinger,3050305.182,4991127.65
NEBA,60.047,31.573,1.34,6.23,1.3,1.3,0.004,Raeesi,2715634.444,4712540.103
NEHB,60.0382,31.542,2.25,6.11,0.35,0.47,0.003,IPGN,2717256.617,4713681.448
NEYA,50.045,36.401,-2.21,11.43,0.76,0.8,0,Raeesi,3300654.294,3939846.642
