Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season
0.573515192205337,1.03323491718064,1491,A20190120900,2.06,2.7,Birjand,2019-01-12 09:00:00,17820,2019,1,12,9,0,day,Winter
0.622733477111577,0.896226570899088,1191,A20190120900,5.26,4.81,Tehran,2019-01-12 09:00:00,17820,2019,1,12,9,0,day,Winter
0.51417399763753,1.06255644861415,1370,A20190122105,3.52,3.45,Zahedan,2019-01-12 21:05:00,18545,2019,1,12,21,5,night,Winter
0.622733477111577,0.896226570899088,1191,A20190122240,4.11,4.04,Tehran,2019-01-12 22:40:00,18640,2019,1,12,22,40,night,Winter
0.664621379159441,0.807738377822976,1361,A20190122240,3.13,3.49,Tabriz,2019-01-12 22:40:00,18640,2019,1,12,22,40,night,Winter
0.566533875197359,0.902509756206268,1550,A20190132145,8.08,7.21,Esfahan,2019-01-13 21:45:00,20025,2019,1,13,21,45,night,Winter
0.622733477111577,0.896226570899088,1191,A20190142230,14.44,7.8,Tehran,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter
0.632856386773144,1.04073983296422,990,A20190142230,13.5,10.37,Mashhad,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter
0.597949801733257,0.822224610614529,1322,A20190142230,14.54,5.75,Kermanshah,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter
0.664621379159441,0.807738377822976,1361,A20190142230,8.16,3.67,Tabriz,2019-01-14 22:30:00,21510,2019,1,14,22,30,night,Winter
0.622733477111577,0.896226570899088,1191,A20190150930,4.34,4.38,Tehran,2019-01-15 09:30:00,22170,2019,1,15,9,30,day,Winter
0.515395728113926,0.917694120698618,1491,A20190152135,14.08,14.18,Shiraz,2019-01-15 21:35:00,22895,2019,1,15,21,35,night,Winter
0.632856386773144,1.04073983296422,990,A20190152135,12.85,3.65,Mashhad,2019-01-15 21:35:00,22895,2019,1,15,21,35,night,Winter
0.597949801733257,0.822224610614529,1322,A20190152310,9.75,3.38,Kermanshah,2019-01-15 23:10:00,22990,2019,1,15,23,10,night,Winter
0.664621379159441,0.807738377822976,1361,A20190152310,7.39,3.84,Tabriz,2019-01-15 23:10:00,22990,2019,1,15,23,10,night,Winter
0.573515192205337,1.03323491718064,1491,A20190160835,8.69,6.27,Birjand,2019-01-16 08:35:00,23555,2019,1,16,8,35,day,Winter
0.597949801733257,0.822224610614529,1322,A20190162215,8.41,5.43,Kermanshah,2019-01-16 22:15:00,24375,2019,1,16,22,15,night,Winter
0.51417399763753,1.06255644861415,1370,A20190162220,13.5,14.29,Zahedan,2019-01-16 22:20:00,24380,2019,1,16,22,20,night,Winter
0.51417399763753,1.06255644861415,1370,A20190172125,11.84,8.17,Zahedan,2019-01-17 21:25:00,25765,2019,1,17,21,25,night,Winter
0.573515192205337,1.03323491718064,1491,A20190181000,3,4.44,Birjand,2019-01-18 10:00:00,26520,2019,1,18,10,0,day,Winter
0.527962098728285,0.99413954193597,1754,A20190181000,3.91,3.24,Kerman,2019-01-18 10:00:00,26520,2019,1,18,10,0,day,Winter
0.622733477111577,0.896226570899088,1191,A20190182205,6.77,2.93,Tehran,2019-01-18 22:05:00,27245,2019,1,18,22,5,night,Winter
0.632856386773144,1.04073983296422,990,A20190182205,6.92,3.86,Mashhad,2019-01-18 22:05:00,27245,2019,1,18,22,5,night,Winter
0.51417399763753,1.06255644861415,1370,A20190182205,12.64,10.39,Zahedan,2019-01-18 22:05:00,27245,2019,1,18,22,5,night,Winter
0.573515192205337,1.03323491718064,1491,A20190190905,3.62,4.21,Birjand,2019-01-19 09:05:00,27905,2019,1,19,9,5,day,Winter
0.527962098728285,0.99413954193597,1754,A20190190905,2.73,2.32,Kerman,2019-01-19 09:05:00,27905,2019,1,19,9,5,day,Winter
0.51417399763753,1.06255644861415,1370,A20190192110,7.05,5.24,Zahedan,2019-01-19 21:10:00,28630,2019,1,19,21,10,night,Winter
0.622733477111577,0.896226570899088,1191,A20190192245,4.9,4.54,Tehran,2019-01-19 22:45:00,28725,2019,1,19,22,45,night,Winter
0.632856386773144,1.04073983296422,990,A20190192245,6.29,4.91,Mashhad,2019-01-19 22:45:00,28725,2019,1,19,22,45,night,Winter
0.546811654649823,0.84945174694564,22,A20190200950,7.14,8.36,Ahwaz,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter
0.573515192205337,1.03323491718064,1491,A20190200950,5.19,5.31,Birjand,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter
0.527962098728285,0.99413954193597,1754,A20190200950,3.73,3.44,Kerman,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter
